Timestamp,Value
11/22/2017 23:50,1.873362656
11/22/2017 23:55,1.609840938
11/23/2017 0:00,1.710465938
11/23/2017 0:05,2.323495625
11/23/2017 0:10,2.126328125
11/23/2017 0:15,1.832148906
11/23/2017 0:20,2.81071125
11/23/2017 0:25,1.743405313
11/23/2017 0:30,1.797651406
11/23/2017 0:35,1.905614063
11/23/2017 0:40,2.182695938
11/23/2017 0:45,1.783643281
11/23/2017 0:50,2.159783281
11/23/2017 0:55,1.480707188
11/23/2017 1:00,1.542214688
11/23/2017 1:05,1.425572656
11/23/2017 1:10,1.6843175
11/23/2017 1:15,1.813986719
11/23/2017 1:20,2.501041953
11/23/2017 1:25,1.496175313
11/23/2017 1:30,1.419406406
11/23/2017 1:35,2.464650156
11/23/2017 1:40,1.539611172
11/23/2017 1:45,2.142859219
11/23/2017 1:50,1.954509375
11/23/2017 1:55,1.872335625
11/23/2017 2:00,3.674741797
11/23/2017 2:05,1.214195156
11/23/2017 2:10,1.457924688
11/23/2017 2:15,2.214093281
11/23/2017 2:20,3.419529766
11/23/2017 2:25,3.687585938
11/23/2017 2:30,3.728175313
11/23/2017 2:35,2.174530938
11/23/2017 2:40,2.16467957
11/23/2017 2:45,6.185575625
11/23/2017 2:50,2.002144063
11/23/2017 2:55,3.033695313
11/23/2017 3:00,1.133413672
11/23/2017 3:05,1.117534141
11/23/2017 3:10,1.075406328
11/23/2017 3:15,1.020705313
11/23/2017 3:20,1.317219258
11/23/2017 3:25,1.121137656
11/23/2017 3:30,1.341598125
11/23/2017 3:35,2.198504063
11/23/2017 3:40,1.307349883
11/23/2017 3:45,1.7034225
11/23/2017 3:50,1.301475313
11/23/2017 3:55,1.249742813
11/23/2017 4:00,3.560141719
11/23/2017 4:05,2.331844531
11/23/2017 4:10,1.294644297
11/23/2017 4:15,2.175700156
11/23/2017 4:20,2.164014453
11/23/2017 4:25,4.143786875
11/23/2017 4:30,2.071009375
11/23/2017 4:35,1.688707969
11/23/2017 4:40,2.196533672
11/23/2017 4:45,3.873499688
11/23/2017 4:50,1.637105625
11/23/2017 4:55,3.301641563
11/23/2017 5:00,5.597074375
11/23/2017 5:05,10.67047
11/23/2017 5:10,3.222783125
11/23/2017 5:15,3.041320313
11/23/2017 5:20,4.28148
11/23/2017 5:25,6.304938125
11/23/2017 5:30,5.400346875
11/23/2017 5:35,5.62695875
11/23/2017 5:40,6.424123438
11/23/2017 5:45,5.98752125
11/23/2017 5:50,6.5298
11/23/2017 5:55,7.801770625
11/23/2017 6:00,7.858735938
11/23/2017 6:05,11.98500125
11/23/2017 6:10,6.11349375
11/23/2017 6:15,5.622649375
11/23/2017 6:20,10.34651094
11/23/2017 6:25,6.094783125
11/23/2017 6:30,7.035984375
11/23/2017 6:35,11.46887625
11/23/2017 6:40,7.59346125
11/23/2017 6:45,17.14716
11/23/2017 6:50,7.6991475
11/23/2017 6:55,8.902175625
11/23/2017 7:00,18.72536781
11/23/2017 7:05,10.43182688
11/23/2017 7:10,16.9634625
11/23/2017 7:15,11.400285
11/23/2017 7:20,13.65519688
11/23/2017 7:25,22.13441
11/23/2017 7:30,10.03419313
11/23/2017 7:35,10.32171313
11/23/2017 7:40,13.02223531
11/23/2017 7:45,19.8607275
11/23/2017 7:50,14.94597625
11/23/2017 7:55,24.12597
11/23/2017 8:00,15.21389313
11/23/2017 8:05,17.7258575
11/23/2017 8:10,15.47777
11/23/2017 8:15,11.71586375
11/23/2017 8:20,18.12768813
11/23/2017 8:25,21.8411525
11/23/2017 8:30,19.253285
11/23/2017 8:35,15.844515
11/23/2017 8:40,18.58736125
11/23/2017 8:45,13.75208875
11/23/2017 8:50,17.9835125
